"FECHA","ID_ESTACION","NOM_ESTACION","ESPECIE","ESPECIE_DES","ALTURA","DAP","TIPO","TIPO_DES","ESTADO","ESTADO_DES"
06/06/00,45910,"Kilómetro 22 -2","AG","Avicennia germinans",5,4,5,1,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,7,7,65,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,5,7,45,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,2,7,65,"","","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",3,4,3,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,3,4,45,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,5,8,2,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",5,3,2,75,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,9,7,2,"7","Rama","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","AG","Avicennia germinans",5,2,85,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","AG","Avicennia germinans",5,2,7,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,39,4,55,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,39,3,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,98,5,15,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,5,3,45,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,3,3,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","RM","Rhizophora mangle",7,2,5,25,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,2,6,2,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,68,5,25,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,7,6,75,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",5,1,2,95,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,1,3,7,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,6,5,65,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,4,85,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,8,6,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",5,3,3,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,8,5,05,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,6,8,"8","Tronco","1","Caido"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",7,1,6,7,"8","Tronco","1","Caido"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,1,6,15,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",4,1,2,9,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,1,4,75,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,2,3,3,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",6,1,3,8,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,7,8,9,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",9,3,8,1,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",4,6,2,9,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",5,6,3,25,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,9,5,3,"7","Rama","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,3,7,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,1,4,75,"7","Rama","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,7,5,6,"7","Rama","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",9,5,6,5,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",9,1,5,25,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,2,6,8,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,9,8,25,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",9,1,6,7,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",9,6,4,"8","Tronco","6","Vivo"
06/06/00,45910,"Kilómetro 22 -2","LR","Laguncularia racemosa",8,3,6,5,"8","Tronco","6","Vivo"
